,Unnamed: 0,iso_code,continent,location,total_cases,total_deaths,median_age,population,percentage,GDP ($ per capita),Net migration,Infant mortality (per 1000 births),Area (sq. mi.)
186,186,STP,Africa,Sao Tome and Principe,1014.0,17.0,18.7,227393.0,0.007476043677685769%,,,,
187,187,SAU,Asia,Saudi Arabia,362488.0,6204.0,31.9,36408824.0,0.017039825290704254%,,,,
188,188,OWID_SCT,Europe,Scotland,,,,5466000.0,nan%,,,,
189,189,SEN,Africa,Senegal,18945.0,402.0,18.7,17316452.0,0.0023214917235932623%,,,,
190,190,SRB,Europe,Serbia,334991.0,3163.0,41.2,6871547.0,0.046030391700733475%,,,,
191,191,SYC,Africa,Seychelles,226.0,0.0,36.2,107135.0,nan%,,,,
192,192,SLE,Africa,Sierra Leone,2583.0,76.0,19.1,8605723.0,0.0008831332358710594%,,,,
193,193,SGP,Asia,Singapore,58569.0,29.0,42.4,5637022.0,0.0005144560372480363%,,,,
194,194,SXM,North America,Sint Maarten (Dutch part),1423.0,27.0,,44192.0,0.06109703113685735%,,,,
195,195,SVK,Europe,Slovakia,179543.0,2138.0,41.2,5643455.0,0.03788459374620689%,,,,
196,196,SVN,Europe,Slovenia,122262.0,2981.0,44.5,2119843.0,0.14062362165499992%,,,,
197,197,SLB,Oceania,Solomon Islands,17.0,0.0,20.8,724272.0,nan%,,,,
198,198,SOM,Africa,Somalia,4690.0,127.0,16.8,17597508.0,0.0007216930942722117%,,,,
199,199,ZAF,Africa,South Africa,1039161.0,28033.0,27.3,59893884.0,0.04680444500810801%,,,,
200,200,KOR,Asia,South Korea,60722.0,900.0,43.4,51815808.0,0.0017369216745592388%,,,,
201,201,SSD,Africa,South Sudan,3540.0,64.0,19.2,10913172.0,0.0005864472767404381%,,,,
202,202,ESP,Europe,Spain,1955216.0,54459.0,45.5,47558632.0,0.1145091810041971%,,,,
203,203,LKA,Asia,Sri Lanka,43299.0,204.0,34.1,21832150.0,0.00093440178818852%,,,,
204,204,SDN,Africa,Sudan,25238.0,1549.0,19.7,46874200.0,0.003304589731664754%,,,,
205,205,SUR,South America,Suriname,6098.0,120.0,29.6,618046.0,0.01941603052199998%,,,,
206,206,SWE,Europe,Sweden,447759.0,9706.0,41.0,10549349.0,0.09200567731715009%,,,,
207,207,CHE,Europe,Switzerland,451142.0,7528.0,43.1,8740471.0,0.08612808165601143%,,,,
208,208,SYR,Asia,Syria,11243.0,696.0,21.7,22125242.0,0.0031457283043502984%,,,,
209,209,TWN,Asia,Taiwan,890.0,7.0,42.2,23893396.0,nan%,,,,
210,210,TJK,Asia,Tajikistan,13665.0,90.0,23.3,9952789.0,0.0009042691450607463%,,,,
211,211,TZA,Africa,Tanzania,509.0,21.0,17.7,65497752.0,3.206216909551338e-05%,,,,
212,212,THA,Asia,Thailand,6884.0,61.0,40.1,71697024.0,8.508023987160193e-05%,,,,
213,213,TLS,Asia,Timor,44.0,,18.0,1341298.0,nan%,,,,
214,214,TGO,Africa,Togo,3611.0,68.0,19.4,8848700.0,0.0007684744651756755%,,,,
215,215,TKL,Oceania,Tokelau,,,,1893.0,nan%,,,,
216,216,TON,Oceania,Tonga,0.0,0.0,22.3,106867.0,nan%,,,,
217,217,TTO,North America,Trinidad and Tobago,7132.0,126.0,36.2,1531043.0,0.00822968394747894%,,,,
218,218,TUN,Africa,Tunisia,137216.0,4620.0,32.7,12356116.0,0.037390390313590455%,,,,
219,219,TUR,Asia,Turkey,2194272.0,20642.0,31.6,85341248.0,0.02418760035006753%,,,,
220,220,TKM,Asia,Turkmenistan,0.0,0.0,26.9,6430777.0,nan%,,,,
221,221,TCA,North America,Turks and Caicos Islands,865.0,6.0,,45726.0,0.01312163758037003%,,,,
222,222,TUV,Oceania,Tuvalu,0.0,0.0,26.6,11335.0,nan%,,,,
223,223,UGA,Africa,Uganda,35220.0,304.0,16.4,47249588.0,0.0006433918534908706%,,,,
224,224,UKR,Europe,Ukraine,1055047.0,18533.0,41.4,39701744.0,0.04668056899465172%,,,,
225,225,ARE,Asia,United Arab Emirates,204369.0,662.0,34.0,9441138.0,0.007011866577948548%,,,,
226,226,GBR,Europe,United Kingdom,2563565.0,93414.0,40.8,67508936.0,0.13837279260333774%,,,,
227,227,USA,North America,United States,19577585.0,352004.0,38.3,338289856.0,0.10405396252851282%,,,,
228,228,VIR,North America,United States Virgin Islands,2010.0,23.0,42.2,99479.0,0.023120457584012707%,,,,
229,229,URY,South America,Uruguay,17962.0,168.0,35.6,3422796.0,0.004908267977407944%,,,,
230,230,UZB,Asia,Uzbekistan,77060.0,614.0,28.2,34627648.0,0.0017731495942202022%,,,,
231,231,VUT,Oceania,Vanuatu,1.0,0.0,23.1,326744.0,nan%,,,,
232,232,VAT,Europe,Vatican,26.0,,,808.0,nan%,,,,
233,233,VEN,South America,Venezuela,112861.0,1021.0,29.0,28301700.0,0.003607557143210478%,,,,
234,234,VNM,Asia,Vietnam,1456.0,35.0,32.6,98186856.0,3.564631909590832e-05%,,,,
235,235,OWID_WLS,Europe,Wales,,,,3170000.0,nan%,,,,
236,236,WLF,Oceania,Wallis and Futuna,4.0,0.0,34.0,11596.0,nan%,,,,
237,237,YEM,Asia,Yemen,2100.0,611.0,20.3,33696612.0,0.00181323867218461%,,,,
238,238,ZMB,Africa,Zambia,20462.0,386.0,17.7,20017670.0,0.0019282963501746208%,,,,
239,239,ZWE,Africa,Zimbabwe,13625.0,360.0,19.6,16320539.0,0.002205809501757264%,,,,
240,COD,Africa,Democratic Republic of the Congo,17657.0,591.0,17.0,99010216.0,2345410,"26,7",0,"94,69",700.0
241,COG,Africa,Republic of Congo,6431.0,100.0,19.0,5970430.0,342000,"10,8","-0,17","93,86",700.0
