Unnamed: 0,iso_code,continent,country,total_cases,total_deaths,median_age,population,area,Density,netmigraration,morality,GDP
132,MUS,Africa,Mauritius,527.0,10.0,37.4,1299478.0,2040,"608,3","-0,9","15,03",11400.0
133,MYT,Africa,Mayotte,5890.0,55.0,20.1,326113.0,374,"538,1","6,78","62,4",2600.0
134,MEX,North America,Mexico,1496067.0,147623.0,29.3,127504120.0,1972550,"54,5","-4,87","20,91",9000.0
136,MDA,Europe,Moldova,143841.0,3110.0,37.6,3272993.0,33843,"132,0","-0,26","40,42",1800.0
137,MCO,Europe,Monaco,726.0,3.0,55.4,36491.0,2,"16271,5","7,75","5,43",27000.0
138,MNG,Asia,Mongolia,1215.0,1.0,28.6,3398373.0,1564116,"1,8",0,"53,79",1800.0
140,MSR,North America,Montserrat,13.0,1.0,35.6,4413.0,102,"92,5",0,"7,35",3400.0
141,MAR,Africa,Morocco,435189.0,7314.0,29.6,37457976.0,446550,"74,4","-0,98","41,62",4000.0
142,MOZ,Africa,Mozambique,18485.0,165.0,17.7,32969520.0,801590,"24,6",0,"130,79",1200.0
144,NAM,Africa,Namibia,23932.0,208.0,22.0,2567024.0,825418,"2,5",0,"48,98",7200.0
145,NRU,Oceania,Nauru,0.0,0.0,28.2,12691.0,21,"632,7",0,"9,95",5000.0
146,NPL,Asia,Nepal,260593.0,2758.0,25.0,30547586.0,147181,"192,2",0,"66,98",1400.0
147,NLD,Europe,Netherlands,785874.0,11296.0,43.2,17564020.0,41526,"397,1","2,91","5,04",28600.0
148,NCL,Oceania,New Caledonia,38.0,0.0,33.4,289959.0,19060,"11,5",0,"7,72",15000.0
149,NZL,Oceania,New Zealand,1807.0,25.0,37.9,5185289.0,268680,"15,2","4,05","5,85",21600.0
150,NIC,North America,Nicaragua,4829.0,165.0,27.3,6948395.0,129494,"43,0","-1,22","29,11",2300.0
151,NER,Africa,Niger,3208.0,101.0,15.1,26207982.0,1267000,"9,9","-0,67","121,69",800.0
152,NGA,Africa,Nigeria,86576.0,1278.0,18.1,218541216.0,923768,"142,7","0,26","98,8",900.0
158,NOR,Europe,Norway,49785.0,436.0,39.7,5434324.0,323802,"14,2","1,74","3,7",37800.0
159,OMN,Asia,Oman,128633.0,1497.0,30.7,4576300.0,212460,"14,6","0,28","19,51",13100.0
160,PAK,Asia,Pakistan,477240.0,10047.0,23.5,235824864.0,803940,"206,2","-2,77","72,44",2100.0
161,PLW,Oceania,Palau,0.0,0.0,33.9,18084.0,458,"44,9","2,85","14,84",9000.0
163,PAN,North America,Panama,238279.0,3933.0,29.7,4408582.0,78200,"40,8","-0,91","20,47",6300.0
164,PNG,Oceania,Papua New Guinea,780.0,9.0,22.6,10142625.0,462840,"12,3",0,"51,45",2200.0
165,PRY,South America,Paraguay,106136.0,2220.0,26.5,6780745.0,406750,"16,0","-0,08","25,63",4700.0
166,PER,South America,Peru,1010496.0,93066.0,29.1,34049588.0,1285220,"22,0","-1,05","31,94",5100.0
167,PHL,Asia,Philippines,472523.0,9230.0,25.2,115559008.0,300000,"298,2","-1,5","23,51",4600.0
169,POL,Europe,Poland,1297400.0,28642.0,41.8,39857144.0,312685,"123,3","-0,49","8,51",11100.0
170,PRT,Europe,Portugal,386655.0,6842.0,46.2,10270857.0,92391,"114,8","3,57","5,05",18000.0
171,PRI,North America,Puerto Rico,81082.0,1666.0,38.2,3252412.0,13790,"284,8","-1,46","8,24",16800.0
172,QAT,Asia,Qatar,143428.0,245.0,31.9,2695131.0,11437,"77,4","16,29","18,61",21500.0
173,REU,Africa,Reunion,8972.0,42.0,36.0,974062.0,2517,"312,9",0,"7,78",5800.0
174,ROU,Europe,Romania,627941.0,15596.0,43.0,19659270.0,237500,"93,9","-0,13","26,43",7000.0
175,RUS,Europe,Russia,3159297.0,57019.0,39.6,144713312.0,17075200,"8,4","1,02","15,39",8900.0
176,RWA,Africa,Rwanda,8250.0,86.0,20.3,13776702.0,26338,"328,4",0,"91,23",1300.0
178,SHN,Africa,Saint Helena,0.0,0.0,49.3,5401.0,413,"18,2",0,19,2500.0
180,LCA,North America,Saint Lucia,340.0,5.0,34.9,179872.0,616,"273,5","-2,67","13,53",5400.0
183,VCT,North America,Saint Vincent and the Grenadines,115.0,0.0,31.8,103959.0,389,"303,0","-7,64","14,78",2900.0
184,WSM,Oceania,Samoa,1.0,0.0,22.0,222390.0,2944,"60,1","-11,7","27,71",5600.0
185,SMR,Europe,San Marino,2401.0,59.0,45.7,33690.0,61,"479,5","10,98","5,73",34600.0
187,SAU,Asia,Saudi Arabia,362488.0,6204.0,31.9,36408824.0,1960582,"13,8","-2,71","13,24",11800.0
189,SEN,Africa,Senegal,18945.0,402.0,18.7,17316452.0,196190,"61,1","0,2","55,51",1600.0
190,SRB,Europe,Serbia,334991.0,3163.0,41.2,6871547.0,88361,"106,3","-1,33","12,89",2200.0
191,SYC,Africa,Seychelles,226.0,0.0,36.2,107135.0,455,"179,2","-5,69","15,53",7800.0
192,SLE,Africa,Sierra Leone,2583.0,76.0,19.1,8605723.0,71740,"83,7",0,"143,64",500.0
193,SGP,Asia,Singapore,58569.0,29.0,42.4,5637022.0,693,"6482,2","11,53","2,29",23700.0
195,SVK,Europe,Slovakia,179543.0,2138.0,41.2,5643455.0,48845,"111,4","0,3","7,41",13300.0
196,SVN,Europe,Slovenia,122262.0,2981.0,44.5,2119843.0,20273,"99,2","1,12","4,45",19000.0
197,SLB,Oceania,Solomon Islands,17.0,0.0,20.8,724272.0,28450,"19,4",0,"21,29",1700.0
198,SOM,Africa,Somalia,4690.0,127.0,16.8,17597508.0,637657,"13,9","5,37","116,7",500.0
199,ZAF,Africa,South Africa,1039161.0,28033.0,27.3,59893884.0,1219912,"36,2","-0,29","61,81",10700.0
202,ESP,Europe,Spain,1955216.0,54459.0,45.5,47558632.0,504782,"80,0","0,99","4,42",22000.0
203,LKA,Asia,Sri Lanka,43299.0,204.0,34.1,21832150.0,65610,"308,2","-1,31","14,35",3700.0
204,SDN,Africa,Sudan,25238.0,1549.0,19.7,46874200.0,2505810,"16,5","-0,02","62,5",1900.0
205,SUR,South America,Suriname,6098.0,120.0,29.6,618046.0,163270,"2,7","-8,81","23,57",4000.0
206,SWE,Europe,Sweden,447759.0,9706.0,41.0,10549349.0,449964,"20,0","1,67","2,77",26800.0
207,CHE,Europe,Switzerland,451142.0,7528.0,43.1,8740471.0,41290,"182,2","4,05","4,39",32700.0
208,SYR,Asia,Syria,11243.0,696.0,21.7,22125242.0,185180,"102,0",0,"29,53",3300.0
209,TWN,Asia,Taiwan,890.0,7.0,42.2,23893396.0,35980,"640,3",0,"6,4",23400.0
210,TJK,Asia,Tajikistan,13665.0,90.0,23.3,9952789.0,143100,"51,2","-2,86","110,76",1000.0
211,TZA,Africa,Tanzania,509.0,21.0,17.7,65497752.0,945087,"39,6","-2,06","98,54",600.0
212,THA,Asia,Thailand,6884.0,61.0,40.1,71697024.0,514000,"125,7",0,"20,48",7400.0
214,TGO,Africa,Togo,3611.0,68.0,19.4,8848700.0,56785,"97,7",0,"66,61",1500.0
216,TON,Oceania,Tonga,0.0,0.0,22.3,106867.0,748,"153,3",0,"12,62",2200.0
218,TUN,Africa,Tunisia,137216.0,4620.0,32.7,12356116.0,163610,"62,2","-0,57","24,77",6900.0
219,TUR,Asia,Turkey,2194272.0,20642.0,31.6,85341248.0,780580,"90,2",0,"41,04",6700.0
220,TKM,Asia,Turkmenistan,0.0,0.0,26.9,6430777.0,488100,"10,3","-0,86","73,08",5800.0
222,TUV,Oceania,Tuvalu,0.0,0.0,26.6,11335.0,26,"454,2",0,"20,03",1100.0
223,UGA,Africa,Uganda,35220.0,304.0,16.4,47249588.0,236040,"119,5",0,"67,83",1400.0
224,UKR,Europe,Ukraine,1055047.0,18533.0,41.4,39701744.0,603700,"77,4","-0,39","20,34",5400.0
225,ARE,Asia,United Arab Emirates,204369.0,662.0,34.0,9441138.0,82880,"31,4","1,03","14,51",23200.0
226,GBR,Europe,United Kingdom,2563565.0,93414.0,40.8,67508936.0,244820,"247,6","2,19","5,16",27700.0
227,USA,North America,United States,19577585.0,352004.0,38.3,338289856.0,9631420,"31,0","3,41","6,5",37800.0
